"Size","Order","Completeness","SizeLcc","OrderLcc","RelativeSizeLcc","RelativeOrderLcc","Entity"
9296850,9760,1,9024364,8623,0.97069050269715,0.883504098360656,"proteins"
8367165,9760,0.9,8121922,8621,0.873620850072874,0.883299180327869,"proteins"
7530448,9760,0.809999946218343,7309562,8610,0.786240715941421,0.882172131147541,"proteins"
6777403,9760,0.728999930083846,6578864,8598,0.707644417195071,0.88094262295082,"proteins"
6099663,9760,0.656099969344455,5920561,8592,0.636835164598762,0.880327868852459,"proteins"
5489696,9760,0.59048989711569,5329138,8588,0.573219746473268,0.879918032786885,"proteins"
4940727,9760,0.531440971942109,4795649,8546,0.515835901407466,0.875614754098361,"proteins"
4446654,9760,0.478296842478904,4316258,8557,0.464271016527103,0.876741803278689,"proteins"
4001989,9760,0.43046720125634,3884740,8505,0.417855510199691,0.871413934426229,"proteins"
3601790,9760,0.387420470374374,3496191,8476,0.376061891931138,0.86844262295082,"proteins"
3241611,9760,0.348678423336937,3146379,8467,0.338434953774666,0.867520491803279,"proteins"
2917450,9760,0.313810591759574,2832278,8458,0.30464920914073,0.866598360655738,"proteins"
2625705,9760,0.282429532583617,2547895,8359,0.274060031085798,0.856454918032787,"proteins"
2363134,9760,0.254186525543598,2293900,8381,0.246739487030553,0.858709016393443,"proteins"
2126821,9760,0.228767916014564,2064076,8360,0.222018855849024,0.85655737704918,"proteins"
1914138,9760,0.205891027606125,1857625,8294,0.199812302016274,0.849795081967213,"proteins"
1722725,9760,0.185302010896164,1672215,8237,0.179868987882993,0.843954918032787,"proteins"
1550452,9760,0.16677175602489,1504652,8217,0.161845356222807,0.841905737704918,"proteins"
1395407,9760,0.150094601935064,1354112,8132,0.145652774864605,0.833196721311475,"proteins"
1255866,9760,0.135085109472563,1218676,8087,0.131084829807946,0.82858606557377,"proteins"
1130279,9760,0.121576555499981,1094932,7970,0.117774515023906,0.816598360655738,"proteins"
1017251,9760,0.109418889193652,986169,7994,0.106075606253731,0.81905737704918,"proteins"
915526,9760,0.0984770110306179,888349,7950,0.095553762833648,0.814549180327869,"proteins"
823974,9760,0.0886293744655448,799217,7818,0.0859664294895583,0.801024590163934,"proteins"
741576,9760,0.0797663724810016,718815,7802,0.0773181238806693,0.799385245901639,"proteins"
667418,9760,0.0717896922075757,647579,7678,0.0696557436120837,0.786680327868852,"proteins"
600677,9760,0.0646108090374697,583088,7662,0.0627188778995036,0.785040983606557,"proteins"
540609,9760,0.0581496958647284,523949,7477,0.0563576910458919,0.76608606557377,"proteins"
486548,9760,0.0523347155219241,471546,7512,0.0507210506784556,0.769672131147541,"proteins"
437893,9760,0.0471012224570688,424554,7399,0.0456664354055406,0.758094262295082,"proteins"
394104,9760,0.0423911324803563,381833,7247,0.041071223048667,0.742520491803279,"proteins"
354693,9760,0.0381519546943319,343657,7184,0.0369648859559958,0.736065573770492,"proteins"
319224,9760,0.0343367914938931,308959,7078,0.0332326540710025,0.725204918032787,"proteins"
287301,9760,0.0309030478065151,278289,7050,0.0299336872166379,0.722336065573771,"proteins"
258571,9760,0.027812753782195,250576,7005,0.0269527850831196,0.717725409836066,"proteins"
232714,9760,0.025031489160307,225246,6800,0.0242282063279498,0.69672131147541,"proteins"
209443,9760,0.0225283832696021,202696,6776,0.0218026535869676,0.694262295081967,"proteins"
188498,9760,0.0202754696483217,182499,6736,0.0196301973249004,0.690163934426229,"proteins"
169648,9760,0.0182479011708267,164153,6550,0.0176568407578911,0.671106557377049,"proteins"
152684,9760,0.0164231971043956,147820,6501,0.0159000091428817,0.66608606557377,"proteins"
137415,9760,0.0147808128559673,133023,6481,0.0143083947788767,0.664036885245902,"proteins"
123674,9760,0.0133027853520278,119534,6326,0.0128574732301801,0.648155737704918,"proteins"
111306,9760,0.0119724422788364,103559,5920,0.011139149281746,0.60655737704918,"proteins"
100176,9760,0.0107752625889414,96794,6119,0.0104114834594513,0.626946721311475,"proteins"
90158,9760,0.00969769330472149,87137,6086,0.00937274453175,0.623565573770492,"proteins"
81142,9760,0.00872790246158645,78215,5901,0.00841306464017382,0.604610655737705,"proteins"
73028,9760,0.0078551337280907,70525,5847,0.0075859027520074,0.599077868852459,"proteins"
65725,9760,0.00706959884261874,61181,5422,0.0065808311417308,0.555532786885246,"proteins"
59152,9760,0.00636258517669963,54860,5284,0.0059009234310546,0.541393442622951,"proteins"
53237,9760,0.00572634817169256,51268,5493,0.00551455600552875,0.56280737704918,"proteins"
47913,9760,0.00515368108552897,46061,5382,0.00495447382715651,0.551434426229508,"proteins"
43122,9760,0.00463834524597041,41217,5188,0.00443343713193178,0.53155737704918,"proteins"
38810,9760,0.00417453223403626,35736,4756,0.0038438826053986,0.487295081967213,"proteins"
34929,9760,0.00375707901063263,33489,5082,0.00360218783781603,0.520696721311475,"proteins"
31436,9760,0.00338136035323792,28872,4539,0.00310556801497281,0.465061475409836,"proteins"
28292,9760,0.00304318129258835,26008,4415,0.00279750668237091,0.452356557377049,"proteins"
25463,9760,0.00273888467599241,24218,4676,0.00260496834949472,0.479098360655738,"proteins"
22917,9760,0.0024650284773875,20878,4123,0.00224570687921178,0.422438524590164,"proteins"
20625,9760,0.00221849336065442,18777,4008,0.00201971635553978,0.410655737704918,"proteins"
18562,9760,0.00199659024293175,16778,3920,0.00180469728994229,0.401639344262295,"proteins"
16706,9760,0.00179695273130146,15122,3747,0.0016265724412032,0.38391393442623,"proteins"
15035,9760,0.00161721443284553,13532,3558,0.00145554677121821,0.364549180327869,"proteins"
13532,9760,0.00145554677121821,12598,3740,0.00135508263551633,0.383196721311475,"proteins"
12179,9760,0.00131001360675928,10930,3381,0.00117566702700377,0.34641393442623,"proteins"
10961,9760,0.00117900148975191,9758,3185,0.00104960282246137,0.326331967213115,"proteins"
9865,9760,0.00106111209710816,8599,3044,0.0009249369410069,0.311885245901639,"proteins"
8878,9760,0.000954947105740116,7791,2891,0.000838025782926475,0.296209016393443,"proteins"
7990,9760,0.000859430882503213,7025,2815,0.000755632284053201,0.288422131147541,"proteins"
7191,9760,0.000773487794252892,5890,2398,0.000633547922145673,0.245696721311475,"proteins"
6472,9760,0.000696149771159048,5627,2595,0.000605258770443752,0.265881147540984,"proteins"
5825,9760,0.000626556306706035,4905,2403,0.000527598057406541,0.246209016393443,"proteins"
5242,9760,0.000563846894378203,4328,2219,0.000465534024965445,0.227356557377049,"proteins"
4718,9760,0.000507483717603274,3849,2096,0.000414011197341035,0.214754098360656,"proteins"
4246,9760,0.000456713833180056,3298,1814,0.000354743811075795,0.185860655737705,"proteins"
3821,9760,0.000410999424536268,2976,1843,0.000320108423820972,0.188831967213115,"proteins"
3439,9760,0.000369910238414086,2629,1678,0.000282783953704749,0.171926229508197,"proteins"
3095,9760,0.000332908458241232,2318,1585,0.000249331762908942,0.162397540983607,"proteins"
2786,9760,0.000299671394074337,1727,1282,0.000185761844065463,0.131352459016393,"proteins"
2507,9760,0.000269661229341121,1678,1226,0.00018049124165712,0.125614754098361,"proteins"
2256,9760,0.000242662837412672,1205,950,0.000129613793919446,0.0973360655737705,"proteins"
2031,9760,0.000218461091660078,1360,1094,0.000146286107660121,0.112090163934426,"proteins"
1828,9760,0.000196625738825516,1016,786,0.000109284327487267,0.0805327868852459,"proteins"
1645,9760,0.000176941652280073,827,667,8.89548610550885e-05,0.0683401639344262,"proteins"
1480,9760,0.000159193705394838,517,455,5.56102335737373e-05,0.0466188524590164,"proteins"
1332,9760,0.000143274334855354,493,415,5.3028714026794e-05,0.0425204918032787,"proteins"
1199,9760,0.00012896841403271,144,102,1.54891172816599e-05,0.0104508196721311,"proteins"
1079,9760,0.000116060816297993,226,200,2.43093090670496e-05,0.0204918032786885,"proteins"
971,9760,0.000104443978336748,99,97,1.06487681311412e-05,0.00993852459016393,"proteins"
874,9760,9.40103368345192e-05,91,81,9.78826161549342e-06,0.00829918032786885,"proteins"
786,9760,8.45447651623937e-05,81,73,8.7126284709337e-06,0.00747950819672131,"proteins"
708,9760,7.61548266348279e-05,42,42,4.51765920715081e-06,0.00430327868852459,"proteins"
637,9760,6.85178313084539e-05,85,77,9.14288172875759e-06,0.00788934426229508,"proteins"
573,9760,6.16337791832717e-05,32,32,3.44202606259109e-06,0.00327868852459016,"proteins"
516,9760,5.55026702592814e-05,17,18,1.82857634575152e-06,0.00184426229508197,"proteins"
464,9760,4.99093779075708e-05,10,11,1.07563314455972e-06,0.00112704918032787,"proteins"
418,9760,4.49614654425961e-05,11,12,1.18319645901569e-06,0.00122950819672131,"proteins"
376,9760,4.04438062354453e-05,11,12,1.18319645901569e-06,0.00122950819672131,"proteins"
338,9760,3.63564002861184e-05,10,11,1.07563314455972e-06,0.00112704918032787,"proteins"
304,9760,3.26992475946154e-05,7,8,7.52943201191802e-07,0.000819672131147541,"proteins"
274,9760,2.94723481609362e-05,10,11,1.07563314455972e-06,0.00112704918032787,"proteins"
246,9760,2.6460575356169e-05,4,5,4.30253257823887e-07,0.000512295081967213,"proteins"
222,9760,2.38790558092257e-05,4,5,4.30253257823887e-07,0.000512295081967213,"proteins"
200,9760,2.15126628911943e-05,4,5,4.30253257823887e-07,0.000512295081967213,"proteins"
180,9760,1.93613966020749e-05,4,5,4.30253257823887e-07,0.000512295081967213,"proteins"
162,9760,1.74252569418674e-05,4,5,4.30253257823887e-07,0.000512295081967213,"proteins"
145,9760,1.55966805961159e-05,4,5,4.30253257823887e-07,0.000512295081967213,"proteins"
131,9760,1.40907941937323e-05,3,4,3.22689943367915e-07,0.00040983606557377,"proteins"
118,9760,1.26924711058047e-05,5,6,5.37816572279858e-07,0.000614754098360656,"proteins"
106,9760,1.1401711332333e-05,4,5,4.30253257823887e-07,0.000512295081967213,"proteins"
95,9760,1.02185148733173e-05,3,4,3.22689943367915e-07,0.00040983606557377,"proteins"
86,9760,9.25044504321356e-06,2,3,2.15126628911943e-07,0.000307377049180328,"proteins"
77,9760,8.28237521310982e-06,3,4,3.22689943367915e-07,0.00040983606557377,"proteins"
69,9760,7.42186869746204e-06,2,3,2.15126628911943e-07,0.000307377049180328,"proteins"
62,9760,6.66892549627024e-06,2,3,2.15126628911943e-07,0.000307377049180328,"proteins"
56,9760,6.02354560953441e-06,2,3,2.15126628911943e-07,0.000307377049180328,"proteins"
50,9760,5.37816572279858e-06,2,3,2.15126628911943e-07,0.000307377049180328,"proteins"
45,9760,4.84034915051872e-06,2,3,2.15126628911943e-07,0.000307377049180328,"proteins"
41,9760,4.41009589269484e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
37,9760,3.97984263487095e-06,2,3,2.15126628911943e-07,0.000307377049180328,"proteins"
33,9760,3.54958937704706e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
30,9760,3.22689943367915e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
27,9760,2.90420949031123e-06,3,4,3.22689943367915e-07,0.00040983606557377,"proteins"
24,9760,2.58151954694332e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
21,9760,2.2588296035754e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
19,9760,2.04370297466346e-06,2,3,2.15126628911943e-07,0.000307377049180328,"proteins"
17,9760,1.82857634575152e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
15,9760,1.61344971683957e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
14,9760,1.5058864023836e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
12,9760,1.29075977347166e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
11,9760,1.18319645901569e-06,1,2,1.07563314455972e-07,0.000204918032786885,"proteins"
9296850,9760,1,9024364,8623,0.97069050269715,0.883504098360656,"proteins"
8367165,9760,0.9,8122157,8622,0.873646127451771,0.883401639344262,"proteins"
7530448,9760,0.809999946218343,7309481,8608,0.78623200331295,0.881967213114754,"proteins"
6777403,9760,0.728999930083846,6578421,8601,0.707596766646767,0.88125,"proteins"
6099663,9760,0.656099969344455,5921160,8598,0.636899595024121,0.88094262295082,"proteins"
5489696,9760,0.59048989711569,5328500,8584,0.573151121078645,0.879508196721312,"proteins"
4940727,9760,0.531440971942109,4795780,8552,0.51584999220166,0.876229508196721,"proteins"
4446654,9760,0.478296842478904,4316590,8547,0.464306727547503,0.875717213114754,"proteins"
4001989,9760,0.43046720125634,3884786,8521,0.417860458112156,0.873053278688525,"proteins"
3601790,9760,0.387420470374374,3495990,8466,0.376040271704932,0.867418032786885,"proteins"
3241611,9760,0.348678423336937,3146429,8459,0.338440331940388,0.866700819672131,"proteins"
2917450,9760,0.313810591759574,2832022,8438,0.30462167293223,0.864549180327869,"proteins"
2625705,9760,0.282429532583617,2549194,8429,0.274199755831276,0.863627049180328,"proteins"
2363134,9760,0.254186525543598,2293709,8355,0.246718942437492,0.856045081967213,"proteins"
2126821,9760,0.228767916014564,2064420,8343,0.222055857629197,0.854815573770492,"proteins"
1914138,9760,0.205891027606125,1857982,8317,0.199850702119535,0.852151639344262,"proteins"
1722725,9760,0.185302010896164,1671771,8214,0.179821229771374,0.841598360655738,"proteins"
1550452,9760,0.16677175602489,1503090,8190,0.161677342325626,0.839139344262295,"proteins"
1395407,9760,0.150094601935064,1354019,8147,0.14564277147636,0.834733606557377,"proteins"
1255866,9760,0.135085109472563,1217636,8081,0.130972963960911,0.82797131147541,"proteins"
1130279,9760,0.121576555499981,1096651,8054,0.117959416361456,0.825204918032787,"proteins"
1017251,9760,0.109418889193652,987266,8007,0.106193603209689,0.820389344262295,"proteins"
