"Size","Order","Completeness","SizeLcc","OrderLcc","RelativeSizeLcc","RelativeOrderLcc","Entity"
1362115,2389,1,1310329,1563,0.961981183673919,0.654248639598158,"g1"
1087476,2150,0.718502387732352,1046617,1387,0.768376385253815,0.580577647551277,"g1"
928999,1935,0.552416053072317,890814,1196,0.653993238456371,0.500627877773127,"g1"
761711,1741,0.407529520205883,687113,367,0.504445659874533,0.153620761825031,"g1"
563067,1567,0.271143467888908,533511,849,0.391678382515426,0.355378819589787,"g1"
457734,1410,0.198336369783881,412472,298,0.302817309845351,0.124738384261197,"g1"
378324,1269,0.147535179571334,348171,422,0.255610576199513,0.176642946839682,"g1"
329208,1142,0.115533135228858,295589,233,0.217007374560885,0.0975303474257011,"g1"
238948,1028,0.07548603067085,208373,192,0.152977538607239,0.0803683549602344,"g1"
222737,925,0.0633146445963225,204338,197,0.150015233662356,0.0824612808706572,"g1"
176548,832,0.045139443759583,161963,171,0.118905525598059,0.0715780661364588,"g1"
120668,749,0.0277743565903631,106047,140,0.077854659848838,0.0586019254918376,"g1"
110055,674,0.0227950080224127,100353,136,0.0736743960678797,0.0569275847634994,"g1"
97740,607,0.0182318651714761,90648,125,0.0665494469997027,0.0523231477605693,"g1"
68664,546,0.0115210435144529,60041,99,0.0440792444103471,0.0414399330263709,"g1"
49399,491,0.00745366250295261,44241,98,0.0324796364477302,0.0410213478442863,"g1"
44589,442,0.00605647705980328,39358,84,0.0288947702653594,0.0351611552951026,"g1"
48908,398,0.00598181600377778,42671,85,0.0313270171754955,0.0355797404771871,"g1"
29268,358,0.00321992790411365,26226,66,0.0192538809131388,0.0276266220175806,"g1"
26499,322,0.00262213731902143,23566,61,0.017301035521964,0.0255336961071578,"g1"
17720,290,0.00157918056382619,15269,50,0.0112097730367847,0.0209292591042277,"g1"
15416,261,0.00123646629880079,13889,46,0.0101966427210625,0.0192549183758895,"g1"
10881,235,0.0007857904516664,10085,41,0.00740392698120203,0.0171619924654667,"g1"
11565,211,0.000749891044515669,10360,43,0.00760581889194378,0.0179991628296358,"g1"
10296,190,0.000601162953642746,9466,44,0.00694948664393241,0.0184177480117204,"g1"
6549,171,0.000344144771276778,5822,30,0.00427423528850354,0.0125575554625366,"g1"
5862,154,0.000277419260456325,5451,33,0.00400186474710285,0.0138133110087903,"g1"
3813,138,0.000161702214058137,3548,26,0.00260477272476994,0.0108832147341984,"g1"
3826,125,0.000146968767932178,3574,27,0.00262386068724006,0.011301799916283,"g1"
2358,112,8.11581050409124e-05,2079,19,0.00152630284520764,0.00795311845960653,"g1"
2443,101,7.58254358722202e-05,2171,20,0.00159384486625579,0.00837170364169108,"g1"
2891,91,8.08461901439942e-05,2719,23,0.00199616038293389,0.00962745918794475,"g1"
2101,82,5.29431746511059e-05,1969,17,0.00144554608091094,0.00711594809543742,"g1"
1547,73,3.47042967722922e-05,1323,12,0.000971283628768496,0.00502302218501465,"g1"
1183,66,2.3993784553285e-05,1097,13,0.000805365185758912,0.0054416073670992,"g1"
485,59,8.79354165055779e-06,407,10,0.000298800027897791,0.00418585182084554,"g1"
1109,53,1.80624846267634e-05,1039,12,0.00076278434640247,0.00502302218501465,"g1"
202,48,2.97963235519162e-06,189,5,0.000138754804109785,0.00209292591042277,"g1"
98,43,1.29498460651583e-06,75,4,5.50614302022957e-05,0.00167434072833822,"g1"
433,39,5.18946489089531e-06,424,9,0.000311280618743645,0.00376726663876099,"g1"
87,35,9.35744690754795e-07,77,4,5.65297350076902e-05,0.00167434072833822,"g1"
250,31,2.3816162079966e-06,231,7,0.000169589205023071,0.00293009627459188,"g1"
92,28,7.91618497006355e-07,92,4,6.75420210481494e-05,0.00167434072833822,"g1"
46,25,3.5340111473498e-07,36,3,2.64294864971019e-05,0.00125575554625366,"g1"
10,23,7.0680222946996e-08,10,2,7.34152402697276e-06,0.000837170364169108,"g1"
226,20,1.38902003356705e-06,223,6,0.000163715985801493,0.00251151109250733,"g1"
170,18,9.40354270512208e-07,170,5,0.000124805908458537,0.00209292591042277,"g1"
55,16,2.7042867910155e-07,54,3,3.96442297456529e-05,0.00125575554625366,"g1"
4,15,1.84383190296511e-08,4,2,2.9366096107891e-06,0.000837170364169108,"g1"
3,13,1.19849073692732e-08,3,2,2.20245720809183e-06,0.000837170364169108,"g1"
41,12,1.51194216043139e-07,41,3,3.01002485105883e-05,0.00125575554625366,"g1"
11,11,3.71839433764631e-08,11,2,8.07567642967003e-06,0.000837170364169108,"g1"
1362115,2389,1,1310329,1563,0.961981183673919,0.654248639598158,"g1"
1083903,2150,0.716141683651188,1042987,1373,0.765711412032024,0.574717455002093,"g1"
852261,1935,0.506784891918576,802592,1140,0.589224845185612,0.477187107576392,"g1"
677715,1741,0.36259010147724,606003,352,0.444898558491757,0.147341984093763,"g1"
571085,1567,0.275004515198612,538439,887,0.395296285555919,0.371285056509,"g1"
493093,1410,0.213657442064262,465832,777,0.341991682053277,0.325240686479699,"g1"
393277,1269,0.15336640767246,371240,642,0.272546737977337,0.268731686898284,"g1"
270469,1142,0.0949191136066379,240861,262,0.176828681866069,0.109669317706153,"g1"
260539,1028,0.0823068405885489,232811,199,0.170918755024355,0.0832984512348263,"g1"
163763,925,0.0465508476051467,140851,158,0.103406100072314,0.0661364587693596,"g1"
165679,832,0.0423604793180548,150748,175,0.110672006401809,0.073252406864797,"g1"
135853,749,0.0312695135899377,122900,160,0.0902273302914952,0.0669736291335287,"g1"
93409,674,0.019347225517837,80365,125,0.0590001578427666,0.0523231477605693,"g1"
84401,607,0.0157436837767317,77404,118,0.0568263325783799,0.0493930514859774,"g1"
75818,546,0.0127214038969298,67462,105,0.0495273893907636,0.0439514441188782,"g1"
46586,491,0.00702921762308043,40097,83,0.0294373088909527,0.034742570113018,"g1"
54071,442,0.00734440716545836,49571,95,0.0363926687541067,0.0397655922980326,"g1"
29834,398,0.00364892243920639,25338,70,0.0186019535795436,0.0293009627459188,"g1"
24650,358,0.00271187723234937,21780,57,0.0159898393307467,0.0238593553788196,"g1"
21140,322,0.00209185187833929,19050,67,0.0139856032713831,0.0280452071996651,"g1"
26607,290,0.00237117704637265,23965,64,0.0175939623306402,0.0267894516534115,"g1"
19323,261,0.00154983382795328,17733,49,0.0130187245570308,0.0205106739221432,"g1"
12186,235,0.000880033309806704,10937,42,0.00802942482830011,0.0175805776475513,"g1"
10656,211,0.000690950191989535,9544,43,0.0070067505313428,0.0179991628296358,"g1"
8013,190,0.000467863126217883,7063,39,0.00518531842025086,0.0163248221012976,"g1"
9024,171,0.00047420406413218,8276,39,0.00607584528472266,0.0163248221012976,"g1"
8051,154,0.000381013726703151,7437,33,0.00545989141885964,0.0138133110087903,"g1"
4801,138,0.000203601450221117,4359,25,0.00320017032335743,0.0104646295521139,"g1"
2776,125,0.000106634945054816,2590,22,0.00190145472298594,0.00920887400586019,"g1"
4734,112,0.000162935737601221,4591,27,0.00337049368078319,0.011301799916283,"g1"
2289,101,7.10456089691003e-05,2038,17,0.00149620259669705,0.00711594809543742,"g1"
3259,91,9.11372306050768e-05,3174,23,0.00233019972616115,0.00962745918794475,"g1"
3419,82,8.61555041085822e-05,3347,20,0.00245720809182778,0.00837170364169108,"g1"
777,73,1.74306648946807e-05,672,10,0.000493350414612569,0.00418585182084554,"g1"
609,66,1.23518299179633e-05,569,9,0.00041773271713475,0.00376726663876099,"g1"
345,59,6.25519973080915e-06,217,6,0.000159311071385309,0.00251151109250733,"g1"
1282,53,2.08801670798113e-05,1114,14,0.000817845776604765,0.00586019254918376,"g1"
248,48,3.65816249548278e-06,205,6,0.000150501242552942,0.00251151109250733,"g1"
152,43,2.00854755296333e-06,129,5,9.47056599479486e-05,0.00209292591042277,"g1"
212,39,2.54080036228593e-06,156,5,0.000114527774820775,0.00209292591042277,"g1"
868,35,9.33593553534669e-06,868,11,0.000637244285541236,0.0046044370029301,"g1"
170,31,1.61949902143769e-06,116,6,8.5161678712884e-05,0.00251151109250733,"g1"
192,28,1.65207338505674e-06,192,7,0.000140957261317877,0.00293009627459188,"g1"
75,25,5.76197469676598e-07,66,3,4.84540585780202e-05,0.00125575554625366,"g1"
162,23,1.14501961174134e-06,160,5,0.000117464384431564,0.00209292591042277,"g1"
28,20,1.72090977610077e-07,22,4,1.61513528593401e-05,0.00167434072833822,"g1"
39,18,2.15728332646918e-07,23,3,1.68855052620373e-05,0.00125575554625366,"g1"
31,16,1.52423437311783e-07,31,2,2.27587244836156e-05,0.000837170364169108,"g1"
25,15,1.1523949393532e-07,25,3,1.83538100674319e-05,0.00125575554625366,"g1"
44,13,1.75778641416007e-07,44,4,3.23027057186801e-05,0.00167434072833822,"g1"
11,12,4.05643018652325e-08,11,2,8.07567642967003e-06,0.000837170364169108,"g1"
4,11,1.35214339550775e-08,3,2,2.20245720809183e-06,0.000837170364169108,"g1"
1362115,2389,1,1310329,1563,0.961981183673919,0.654248639598158,"g1"
1071318,2150,0.707826693205779,1029008,1373,0.755448695594719,0.574717455002093,"g1"
