Trait1	Trait2	RatioModified1	RatioModified2	OverlapProteins	OverlapProteoforms	Difference
1_Alkyl_2_acetylglycerophosphocholineEsterase	1_Alkyl_2_acetylglycerophosphocholineEsterase	0.333333	0.333333	9	12	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	AtrialFibrillation	0.333333	0.229167	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	BloodPressure	0.333333	0.289116	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	BodyMassIndex	0.333333	0.365989	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Cholesterol	0.333333	0.231527	5	8	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	CholesterolHDL	0.333333	0.253472	6	9	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	CholesterolLDL	0.333333	0.366102	7	10	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	CoronaryDisease	0.333333	0.338983	5	8	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	DiabetesMellitus	0.333333	0.244444	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Electrocardiography	0.333333	0.3	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Glucose	0.333333	0.244898	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	HeartFailure	0.333333	0.209302	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Hematocrit	0.333333	0.317073	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Lipids	0.333333	0.303571	5	8	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Lipoproteins	0.333333	0.727273	7	10	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	MetabolicSyndromeX	0.333333	0.342857	3	6	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Metabolism	0.333333	0.375839	7	10	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Mortality	0.333333	0.23913	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Neoplasms	0.333333	0.207547	4	7	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Stroke	0.333333	0.178571	5	8	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	Triglycerides	0.333333	0.279279	5	8	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	VascularCalcification	0.333333	0.232558	5	8	3
1_Alkyl_2_acetylglycerophosphocholineEsterase	oxidizedlowdensitylipoprotein	0.333333	0.75	1	4	3
ADAMTS13proteinhuman	ADAMTS13proteinhuman	0.333333	0.333333	2	3	1
ADAMTS13proteinhuman	AlkalinePhosphatase	0.333333	0.1875	1	2	1
ADAMTS13proteinhuman	E_Selectin	0.333333	0.2	1	2	1
ADAMTS13proteinhuman	LiverDiseases	0.333333	0.2	1	2	1
Adenocarcinomaoflung	Adenocarcinomaoflung	0.323529	0.323529	18	34	16
Adenocarcinomaoflung	Age_RelatedHearingImpairment1	0.323529	0.234375	1	2	1
Adenocarcinomaoflung	BodyWeightsandMeasures	0.323529	0.272727	1	2	1
Adenocarcinomaoflung	BreastNeoplasms	0.323529	0.298319	13	28	15
Adenocarcinomaoflung	BronchodilatorAgents	0.323529	0.172932	2	3	1
Adenocarcinomaoflung	CarcinomaEndometrioid	0.323529	0.424242	12	27	15
Adenocarcinomaoflung	CarcinomaNon_Small_CellLung	0.323529	0.3	12	27	15
Adenocarcinomaoflung	CarcinomaSquamousCell	0.323529	0.258065	2	3	1
Adenocarcinomaoflung	CholesterolLDL	0.323529	0.366102	1	2	1
Adenocarcinomaoflung	ColorectalNeoplasms	0.323529	0.296296	13	28	15
Adenocarcinomaoflung	DeglutitionDisorders	0.323529	0.538462	1	13	12
Adenocarcinomaoflung	Emotions	0.323529	0.0909091	1	2	1
Adenocarcinomaoflung	LungNeoplasms	0.323529	0.302326	17	33	16
Adenocarcinomaoflung	LungVolumeMeasurements	0.323529	0.219178	3	4	1
Adenocarcinomaoflung	Magnesium	0.323529	0.347826	2	14	12
Adenocarcinomaoflung	OvarianNeoplasms	0.323529	0.480769	12	27	15
Adenocarcinomaoflung	PlateletFunctionTests	0.323529	0.321212	3	4	1
Adenocarcinomaoflung	Prostate_SpecificAntigen	0.323529	0.230769	2	14	12
Adenocarcinomaoflung	ProstaticNeoplasms	0.323529	0.295082	12	27	15
AgeofOnset	3_hydroxy_1_methylpropylmercapturicacid	0.297297	0.166667	2	3	1
AgeofOnset	AgeofOnset	0.297297	0.297297	77	111	34
AgeofOnset	AlzheimerDisease	0.297297	0.246154	68	102	34
AgeofOnset	ApolipoproteinsB	0.297297	0.166667	1	2	1
AgeofOnset	Asthma	0.297297	0.229885	5	8	3
AgeofOnset	Autoantibodies	0.297297	0.4	2	3	1
AgeofOnset	BloodGlucose	0.297297	0.2	2	3	1
AgeofOnset	BloodPressure	0.297297	0.289116	5	16	11
AgeofOnset	BloodProteins	0.297297	0.153846	1	2	1
AgeofOnset	BodyWeight	0.297297	0.335878	5	17	12
AgeofOnset	BreastNeoplasms	0.297297	0.298319	5	6	1
AgeofOnset	C_ReactiveProtein	0.297297	0.11194	3	4	1
AgeofOnset	CarcinomaBasalCell	0.297297	0.329412	1	4	3
AgeofOnset	CarcinomaSquamousCell	0.297297	0.258065	2	5	3
AgeofOnset	CarotidArteryDiseases	0.297297	0.266667	1	2	1
AgeofOnset	Cholesterol	0.297297	0.231527	5	6	1
AgeofOnset	CholesterolHDL	0.297297	0.253472	8	20	12
AgeofOnset	CholesterolLDL	0.297297	0.366102	7	8	1
AgeofOnset	Cognition	0.297297	0.375	1	2	1
AgeofOnset	Creutzfeldt_JakobSyndrome	0.297297	0.333333	1	2	1
AgeofOnset	Cytokines	0.297297	0.571429	1	12	11
AgeofOnset	DeathSuddenCardiac	0.297297	0.142857	1	2	1
AgeofOnset	DiabetesMellitusType1	0.297297	0.264706	3	4	1
AgeofOnset	Echocardiography	0.297297	0.349398	2	13	11
AgeofOnset	Education	0.297297	0.317881	2	3	1
AgeofOnset	EyeColor	0.297297	0.25	1	4	3
AgeofOnset	Eyebrows	0.297297	0.171429	2	5	3
AgeofOnset	FollicleStimulatingHormone	0.297297	0.230769	1	2	1
AgeofOnset	Glioma	0.297297	0.807018	1	2	1
AgeofOnset	HairColor	0.297297	0.15	1	4	3
AgeofOnset	Hip	0.297297	0.439114	3	4	1
AgeofOnset	Hypothyroidism	0.297297	0.192308	4	5	1
