Trait1	Trait2	RatioModified1	RatioModified2	OverlapProteins	OverlapProteoforms	Type
1_Alkyl_2_acetylglycerophosphocholineEsterase	AgeofOnset	0.333333	0.297297	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	AlzheimerDisease	0.333333	0.246154	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Amyloidbeta_Peptides	0.333333	0.2	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	AorticAneurysmAbdominal	0.333333	0.111111	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	AorticValveCalcificationof	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	ApolipoproteinA_I	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Atherosclerosis	0.333333	0	2	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	C_ReactiveProtein	0.333333	0.11194	2	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	CarcinomaRenalCell	0.333333	0.428571	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	CerebralCortex	0.333333	0.375	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	CerebrospinalFluid	0.333333	0.351648	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Coffee	0.333333	0.307692	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	DentalCaries	0.333333	0.411765	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Gout	0.333333	0.397059	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	HIV_1	0.333333	0.0512821	2	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Health	0.333333	0.333333	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	HeartRate	0.333333	0.272727	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	HydroxymethylglutarylCoAReductases	0.333333	0.166667	5	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Longevity	0.333333	0.26087	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	MacularDegeneration	0.333333	0.454545	3	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Memory	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	NeuropsychologicalTests	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Obesity	0.333333	0.176471	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Overweight	0.333333	0.631579	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	PlaqueAtherosclerotic	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Plasminogen	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	PlateletFunctionTests	0.333333	0.321212	2	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	PsychomotorPerformance	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	Thinness	0.333333	0.25	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	UricAcid	0.333333	0.325581	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	VitaminE	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	WetMacularDegeneration	0.333333	0.453125	2	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	alpha_Tocopherol	0.333333	0	1	0	sep
1_Alkyl_2_acetylglycerophosphocholineEsterase	lipoproteinA_I	0.333333	0.227273	1	0	sep
ADAMTS13proteinhuman	AgeofOnset	0.333333	0.297297	1	0	sep
ADAMTS13proteinhuman	Alopecia	0.333333	0.210526	1	0	sep
ADAMTS13proteinhuman	AlzheimerDisease	0.333333	0.246154	1	0	sep
ADAMTS13proteinhuman	Asthma	0.333333	0.229885	1	0	sep
ADAMTS13proteinhuman	BodyHeight	0.333333	0.339093	1	0	sep
ADAMTS13proteinhuman	BoneDensity	0.333333	0.231405	1	0	sep
ADAMTS13proteinhuman	Cartilage	0.333333	0.695652	1	0	sep
ADAMTS13proteinhuman	Chin	0.333333	0.0833333	1	0	sep
