Entry	Gene names
P68104	EEF1A1 EEF1A EF1A LENG7
P14136	GFAP
P13473	LAMP2
P07900	HSP90AA1 HSP90A HSPC1 HSPCA
P08238	HSP90AB1 HSP90B HSPC2 HSPCB
P11142	HSPA8 HSC70 HSP73 HSPA10
Q99541	PLIN2 ADFP
O60664	PLIN3 M6PRBP1 TIP47
P68871	HBB
P07998	RNASE1 RIB1 RNS1
P0CG48	UBC
P0CG47	UBB
P62987	UBA52 UBCEP2
P62979	RPS27A UBA80 UBCEP1
P13569	CFTR ABCC7
Q12798	CETN1 CEN1 CETN
Q13099	IFT88 TG737 TTC10
Q3SXY8	ARL13B ARL2L1
O95613	PCNT KIAA0402 PCNT2
Q99497	PARK7
Q9UBN7	HDAC6 KIAA0901 JM21
P08670	VIM
P54646	PRKAA2 AMPK AMPK2
Q9UGJ0	PRKAG2
P54619	PRKAG1
Q9UGI9	PRKAG3 AMPKG3
Q9Y478	PRKAB1 AMPK
O43741	PRKAB2
O94817	ATG12 APG12 APG12L
P42127	ASIP AGTI AGTIL ASP
Q96C74	ROPN1L ASP RSPH11
Q9H1Y0	ATG5 APG5L ASP
Q8IWA4	MFN1
Q96E29	MTERF3 MTERFD1 CGI-12
Q9UFC0	LRWD1 CENP-33 ORCA
Q13501	SQSTM1 ORCA OSIL
P21796	VDAC1 VDAC
O95140	MFN2 CPRP1 KIAA0214
Q9H492	MAP1LC3A
Q9GZQ8	MAP1LC3B MAP1ALC3
O60260	PRKN PARK2
Q9BXM7	PINK1
O96008	TOMM40 C19orf1 PEREC1 TOM40
O94826	TOMM70 KIAA0719 TOM70 TOMM70A
Q9NS69	TOMM22 TOM22
Q15388	TOMM20 KIAA0016
Q96B49	TOMM6 OBTP TOM6
Q9P0U1	TOMM7 TOM7 TOMM07 AD-014
Q8N4H5	TOMM5 C9orf105 TOM5
O75385	ULK1 KIAA0722
Q96HS1	PGAM5
Q8IVP5	FUNDC1
P68400	CSNK2A1 CK2A1
P19784	CSNK2A2 CK2A2
P67870	CSNK2B CK2N G5A
P12931	SRC SRC1
Q13131	PRKAA1 AMPK1
Q8TDY2	RB1CC1 KIAA0203 RBICC
O75143	ATG13 KIAA0652
Q9BSB4	ATG101 C12orf44 PP894
Q14457	BECN1 GT197
Q99570	PIK3R4 VPS15
Q8NEB9	PIK3C3 VPS34
Q6ZNE5	ATG14 ATG14L KIAA0831
Q9C0C7	AMBRA1 KIAA1736
Q9Y238	DLEC1 DLC1
P63167	DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1
Q96FJ2	DYNLL2 DLC2
O95352	ATG7 APG7L
Q9Y4P8	WIPI2 CGI-50
Q676U5	ATG16L1 APG16L UNQ9393/PRO34307
Q9BY60	GABARAPL3
Q9BXW4	MAP1LC3C
P60520	GABARAPL2 FLC3A GEF2
Q9H0R8	GABARAPL1 GEC1
O95166	GABARAP FLC3B HT004
Q5JVF3	PCID2 HT004
Q9Y3E7	CHMP3 CGI149 NEDF VPS24 CGI-149
Q96FZ7	CHMP6 VPS20
Q9UQN3	CHMP2B CGI-84
O43633	CHMP2A BC2 CHMP2
Q8WUX9	CHMP7
Q96CF2	CHMP4C SHAX3
Q9H444	CHMP4B C20orf178 SHAX1
Q9BY43	CHMP4A C14orf123 SHAX2 CDA04 HSPC134
Q9P2Y5	UVRAG
Q9NT62	ATG3 APG3 APG3L
Q15382	RHEB RHEB2
Q8N122	RPTOR KIAA1303 RAPTOR
P42345	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1
Q9BVC4	MLST8 GBL LST8
Q8NBW4	SLC38A9 URLC11
