Pathway StId	Pathway Name	# Entities Found	# Entities Total	Entities Ratio	Entities P-Value	Significant	Entities FDR	# Reactions Found	# Reactions Total	Reactions Ratio	Entities Found	Reactions Found
R-HSA-164843	"2-LTR circle formation"	7	7	1.0	0.5503396446695104	No	0.0	3	7	0.42857142857142855	O75475,O75531,P12956,P13010,P17096,P49917,Q13426	R-HSA-175174,R-HSA-175177,R-HSA-175258
R-HSA-73843	"5-Phosphoribose 1-diphosphate biosynthesis"	3	3	1.0	0.5768425830551305	No	0.0	2	3	0.6666666666666666	P11908,P21108,P60891	R-HSA-111215,R-HSA-73580
R-HSA-1971475	"A tetrasaccharide linker sequence is required for GAG synthesis"	26	26	1.0	0.5261834360129357	No	0.0	4	45	0.08888888888888889	O00468,O14594,O75056,O75487,O94766,O95196,P07585,P13611,P18827,P21810,P31431,P34741,P35052,P51654,P78333,P98160,Q6UVK1,Q86Y38,Q8N158,Q96GW7,Q96L58,Q9H1B5,Q9NPZ5,Q9P2W7,Q9UBV7,Q9Y625	R-HSA-1878002,R-HSA-1889955,R-HSA-1889978,R-HSA-1889981
R-HSA-5619084	"ABC transporter disorders"	17	17	1.0	0.5323413269909887	No	0.0	6	18	0.3333333333333333	O75477,O94905,P0CG47,P0CG48,P13569,P55072,P62979,P62987,Q09428,Q13438,Q96DZ1,Q96GF1,Q96Q80,Q99942,Q9BUN8,Q9GZP9,Q9UBV2	R-HSA-5678992,R-HSA-5679000,R-HSA-5683209,R-HSA-8866854,R-HSA-8866856,R-HSA-8866857
R-HSA-1369062	"ABC transporters in lipid homeostasis"	18	18	1.0	0.5314342763065681	No	0.0	11	18	0.6111111111111112	P02647,P28288,P33897,P40855,P45844,P56589,Q86UK0,Q8IUA7,Q8IZY2,Q8N139,Q8WWZ4,Q8WWZ7,Q99758,Q9BZC7,Q9H172,Q9H221,Q9H222,Q9UBJ2	R-HSA-1369028,R-HSA-1369052,R-HSA-1454928,R-HSA-265783,R-HSA-266082,R-HSA-382553,R-HSA-382575,R-HSA-382613,R-HSA-5682285,R-HSA-5683714,R-HSA-8848053
R-HSA-382556	"ABC-family proteins mediated transport"	58	58	1.0	0.5176107411316229	No	0.0	26	58	0.4482758620689655	O15438,O15439,O15440,O60706,O75027,O75477,O94905,O94911,O95255,P02647,P05198,P08183,P0CG47,P0CG48,P13569,P20042,P21439,P28288,P33527,P33897,P40855,P41091,P45844,P55072,P56589,P62979,P62987,P78363,Q13438,Q14654,Q2M3G0,Q5T3U5,Q86UK0,Q8IUA7,Q8IZY2,Q8N139,Q8NE71,Q8WWZ4,Q8WWZ7,Q92887,Q96DZ1,Q96GF1,Q96J66,Q96Q80,Q99758,Q99942,Q9BUN8,Q9BZC7,Q9GZP9,Q9H172,Q9H221,Q9H222,Q9NP58,Q9NP78,Q9NRK6,Q9NUT2,Q9UBJ2,Q9UBV2	R-HSA-1369028,R-HSA-1369052,R-HSA-1369065,R-HSA-1454916,R-HSA-1454928,R-HSA-1467457,R-HSA-1467466,R-HSA-265783,R-HSA-266082,R-HSA-382553,R-HSA-382560,R-HSA-382575,R-HSA-382613,R-HSA-383190,R-HSA-5223317,R-HSA-5227009,R-HSA-5678261,R-HSA-5678706,R-HSA-5678863,R-HSA-5679041,R-HSA-5682285,R-HSA-5683714,R-HSA-8848053,R-HSA-8866542,R-HSA-8866546,R-HSA-8866551
R-HSA-418592	"ADP signalling through P2Y purinoceptor 1"	24	24	1.0	0.5272450442294638	No	0.0	5	25	0.2	O14610,O14775,O60262,O95837,P16520,P29992,P30679,P47712,P47900,P50148,P50150,P50151,P59768,P61952,P62873,P62879,P63211,P63215,P63218,Q16539,Q9HAV0,Q9P2W3,Q9UBI6,Q9UK08	R-HSA-417908,R-HSA-418576,R-HSA-418579,R-HSA-418581,R-HSA-428961
R-HSA-392170	"ADP signalling through P2Y purinoceptor 12"	22	22	1.0	0.5284487129675034	No	0.0	4	22	0.18181818181818182	A8MTJ3,O14610,O14775,O60262,P04899,P08754,P16520,P50150,P50151,P59768,P61952,P62873,P62879,P63096,P63211,P63215,P63218,Q9H244,Q9HAV0,Q9P2W3,Q9UBI6,Q9UK08	R-HSA-392187,R-HSA-392195,R-HSA-392202,R-HSA-417829
R-HSA-198323	"AKT phosphorylates targets in the cytosol"	14	14	1.0	0.5356245926787373	No	0.0	9	25	0.36	O15111,P31749,P31751,P38936,P46527,P49815,P49840,P49841,P55211,Q00987,Q92934,Q96B36,Q9UHC7,Q9Y243	R-HSA-198347,R-HSA-198371,R-HSA-198599,R-HSA-198609,R-HSA-198611,R-HSA-198613,R-HSA-198621,R-HSA-200143,R-HSA-8948757
R-HSA-198693	"AKT phosphorylates targets in the nucleus"	10	10	1.0	0.5421311110794712	No	0.0	4	17	0.23529411764705882	A8MYZ6,O43524,P16220,P22736,P31749,P31751,P98177,Q12778,Q9UBS0,Q9Y243	R-HSA-199298,R-HSA-199299,R-HSA-199839,R-HSA-199863
R-HSA-211163	"AKT-mediated inactivation of FOXO1A"	4	4	1.0	0.5665678598010263	No	0.0	2	5	0.4	P31749,P31751,Q12778,Q9Y243	R-HSA-211164,R-HSA-211178
R-HSA-112122	"ALKBH2 mediated reversal of alkylation damage"	1	1	1.0	0.6321384351326492	No	0.0	6	1	6.0	Q6NS38	R-HSA-112118,R-HSA-112120,R-HSA-112121,R-HSA-5657641,R-HSA-5657649,R-HSA-5657665
R-HSA-112126	"ALKBH3 mediated reversal of alkylation damage"	4	4	1.0	0.5665678598010263	No	0.0	6	4	1.5	Q8N3C0,Q8N9N2,Q96Q83,Q9H1I8	R-HSA-112123,R-HSA-112124,R-HSA-112125,R-HSA-5657617,R-HSA-5657637,R-HSA-5657642
R-HSA-163680	"AMPK inhibits chREBP transcriptional activation activity"	8	8	1.0	0.547093475298884	No	0.0	4	10	0.4	O43741,P54646,Q15831,Q15848,Q86V24,Q96A54,Q9NP71,Q9UGJ0	R-HSA-163664,R-HSA-163691,R-HSA-164151,R-HSA-8848663
R-HSA-179409	"APC-Cdc20 mediated degradation of Nek2A"	25	25	1.0	0.5266982692679109	No	0.0	2	25	0.08	O00762,O43684,O60566,P0CG47,P0CG48,P30260,P51668,P51955,P51965,P60006,P62979,P62987,Q12834,Q13042,Q13257,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13	R-HSA-179410,R-HSA-179417
R-HSA-174143	"APC/C-mediated degradation of cell cycle proteins"	40	40	1.0	0.5211514833902331	No	0.0	30	45	0.6666666666666666	O00762,O14965,O43684,O60566,O95997,P06493,P0CG47,P0CG48,P14635,P20248,P24941,P30260,P51668,P51955,P51965,P53350,P60006,P62979,P62987,P63208,P78396,Q12834,Q13042,Q13257,Q13616,Q8NHZ8,Q96DE5,Q96GD4,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UKT4,Q9UM11,Q9UM13,Q9UNH5,Q9Y297	R-HSA-141423,R-HSA-141429,R-HSA-141437,R-HSA-174057,R-HSA-174070,R-HSA-174079,R-HSA-174088,R-HSA-174097,R-HSA-174104,R-HSA-174119,R-HSA-174120,R-HSA-174121,R-HSA-174122,R-HSA-174124,R-HSA-174132,R-HSA-174139,R-HSA-174144,R-HSA-174159,R-HSA-174171,R-HSA-174174,R-HSA-174195,R-HSA-174209,R-HSA-174224,R-HSA-174227,R-HSA-174235,R-HSA-174238,R-HSA-174251,R-HSA-179410,R-HSA-179417,R-HSA-188371
R-HSA-174048	"APC/C:Cdc20 mediated degradation of Cyclin B"	23	23	1.0	0.5278271990091662	No	0.0	2	23	0.08695652173913043	O00762,P06493,P0CG47,P0CG48,P14635,P30260,P51668,P51965,P60006,P62979,P62987,Q12834,Q13042,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13	R-HSA-174120,R-HSA-174227
R-HSA-174154	"APC/C:Cdc20 mediated degradation of Securin"	22	22	1.0	0.5284487129675034	No	0.0	2	23	0.08695652173913043	O00762,O95997,P0CG47,P0CG48,P30260,P51668,P51965,P60006,P62979,P62987,Q12834,Q13042,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13	R-HSA-174121,R-HSA-174144
R-HSA-176409	"APC/C:Cdc20 mediated degradation of mitotic proteins"	30	30	1.0	0.5243890738887678	No	0.0	9	31	0.2903225806451613	O00762,O43684,O60566,O95997,P06493,P0CG47,P0CG48,P14635,P20248,P30260,P51668,P51955,P51965,P60006,P62979,P62987,P78396,Q12834,Q13042,Q13257,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13	R-HSA-174104,R-HSA-174120,R-HSA-174121,R-HSA-174144,R-HSA-174171,R-HSA-174227,R-HSA-174238,R-HSA-179410,R-HSA-179417
R-HSA-174178	"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	26	26	1.0	0.5261834360129357	No	0.0	2	26	0.07692307692307693	O00762,O14965,O95997,P0CG47,P0CG48,P30260,P51668,P51965,P53350,P60006,P62979,P62987,Q12834,Q13042,Q8NHZ8,Q96DE5,Q96GD4,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM11,Q9UM13	R-HSA-174088,R-HSA-174195
R-HSA-179419	"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	28	28	1.0	0.5252380198608202	No	0.0	4	28	0.14285714285714285	O00762,O43684,O60566,P06493,P0CG47,P0CG48,P20248,P30260,P51668,P51955,P51965,P60006,P62979,P62987,P78396,Q12834,Q13042,Q13257,Q8NHZ8,Q96DE5,Q9H1A4,Q9NYG5,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13	R-HSA-174104,R-HSA-174171,R-HSA-179410,R-HSA-179417
R-HSA-5649702	"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway"	7	7	1.0	0.5503396446695104	No	0.0	9	7	1.2857142857142858	O15527,P06746,P18887,P49916,Q969S2,Q96FI4,Q96T60	R-HSA-5649701,R-HSA-5649705,R-HSA-5649708,R-HSA-5649711,R-HSA-5649723,R-HSA-5649724,R-HSA-5649725,R-HSA-5649726,R-HSA-5649734
R-HSA-180689	"APOBEC3G mediated resistance to HIV-1 infection"	5	5	1.0	0.5595493568882131	No	0.0	3	6	0.5	O75475,O75531,P17096,P62937,Q9HC16	R-HSA-180630,R-HSA-180632,R-HSA-180634
R-HSA-5624958	"ARL13B-mediated ciliary trafficking of INPP5E"	3	3	1.0	0.5768425830551305	No	0.0	3	3	1.0	O43924,Q3SXY8,Q9NRR6	R-HSA-5624953,R-HSA-5624956,R-HSA-5638012
R-HSA-170984	"ARMS-mediated activation"	7	7	1.0	0.5503396446695104	No	0.0	6	9	0.6666666666666666	P01138,P04629,P15056,P31946,P46108,P62834,Q9ULH0	R-HSA-169891,R-HSA-169895,R-HSA-169901,R-HSA-169904,R-HSA-169905,R-HSA-9612980
R-HSA-381033	"ATF6 (ATF6-alpha) activates chaperones"	4	4	1.0	0.5665678598010263	No	0.0	3	5	0.6	O43462,P11021,P18850,Q14703	R-HSA-381135,R-HSA-381158,R-HSA-420818
R-HSA-1296025	"ATP sensitive Potassium channels"	4	4	1.0	0.5665678598010263	No	0.0	2	4	0.5	O60706,Q09428,Q14654,Q15842	R-HSA-1296024,R-HSA-1369017
R-HSA-450408	"AUF1 (hnRNP D0) binds and destabilizes mRNA"	6	6	1.0	0.55436720271584	No	0.0	2	7	0.2857142857142857	P04792,P0DMV8,P11142,P11940,Q04637,Q14103	R-HSA-450434,R-HSA-450551
R-HSA-8854518	"AURKA Activation by TPX2"	72	72	1.0	0.515838072670566	No	0.0	2	73	0.0273972602739726	A8K8P3,O00444,O14965,O15078,O43303,O43805,O75330,O75665,O75935,O94927,O94986,O95613,O95684,P04350,P06493,P07437,P07900,P17612,P23258,P30153,P31323,P41208,P43034,P48730,P49674,P51955,P53350,P61163,P61981,P62258,P63167,P68366,P68371,Q13409,Q13561,Q14008,Q14203,Q14204,Q15154,Q15691,Q5BJF6,Q5JTW2,Q66GS9,Q68CZ6,Q71U36,Q7Z460,Q7Z4H7,Q7Z7A1,Q86SQ7,Q86XR8,Q8NHQ1,Q8NHV4,Q8TAP6,Q8TCU4,Q8TEP8,Q96CS2,Q96MT8,Q96SN8,Q99871,Q99996,Q9BT25,Q9BV73,Q9BYV8,Q9H6D7,Q9HC77,Q9NVX0,Q9NXR1,Q9P209,Q9ULW0,Q9UPN4,Q9UPV0,Q9Y2I6	R-HSA-8853405,R-HSA-8853419
R-HSA-2161541	"Abacavir metabolism"	5	5	1.0	0.5595493568882131	No	0.0	5	5	1.0	P07327,P35558,P49902,Q16774,Q6DHV7	R-HSA-2161195,R-HSA-2162066,R-HSA-2162078,R-HSA-2162092,R-HSA-2162096
R-HSA-2161517	"Abacavir transmembrane transport"	5	5	1.0	0.5595493568882131	No	0.0	3	5	0.6	O15244,O15245,O75751,P08183,Q9UNQ0	R-HSA-2161500,R-HSA-2161506,R-HSA-2161538
R-HSA-2161522	"Abacavir transport and metabolism"	10	10	1.0	0.5421311110794712	No	0.0	8	10	0.8	O15244,O15245,O75751,P07327,P08183,P35558,P49902,Q16774,Q6DHV7,Q9UNQ0	R-HSA-2161195,R-HSA-2161500,R-HSA-2161506,R-HSA-2161538,R-HSA-2162066,R-HSA-2162078,R-HSA-2162092,R-HSA-2162096
R-HSA-73930	"Abasic sugar-phosphate removal via the single-nucleotide replacement pathway"	2	2	1.0	0.5940204570806515	No	0.0	2	2	1.0	P06746,P27695	R-HSA-110360,R-HSA-110375
R-HSA-2978092	"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	1	1	1.0	0.6321384351326492	No	0.0	1	1	1.0	O75874	R-HSA-880053
R-HSA-167242	"Abortive elongation of HIV-1 transcript in the absence of Tat"	23	23	1.0	0.5278271990091662	No	0.0	2	23	0.08695652173913043	O00267,O15514,P13984,P18615,P19387,P19388,P24928,P30876,P35269,P36954,P52298,P52434,P52435,P53803,P61218,P62487,P62875,P63272,Q09161,Q8IXH7,Q8WX92,Q9H3P2,Q9Y5B0	R-HSA-167087,R-HSA-167147
R-HSA-156582	"Acetylation"	2	2	1.0	0.5940204570806515	No	0.0	4	4	1.0	P11245,P18440	R-HSA-158832,R-HSA-174959,R-HSA-174963,R-HSA-174967
R-HSA-264642	"Acetylcholine Neurotransmitter Release Cycle"	17	17	1.0	0.5323413269909887	No	0.0	5	17	0.29411764705882354	O14795,O14810,O75145,O75334,O75335,O95153,P20336,P21579,P28329,P60880,P61764,P63027,Q13136,Q16572,Q16623,Q86UR5,Q9GZV3	R-HSA-264615,R-HSA-264622,R-HSA-372505,R-HSA-372529,R-HSA-429594
R-HSA-181431	"Acetylcholine binding and downstream events"	14	14	1.0	0.5356245926787373	No	0.0	6	14	0.42857142857142855	P02708,P07510,P17787,P30532,P30926,P32297,P36544,P43681,Q04844,Q05901,Q07001,Q15822,Q15825,Q9UGM1	R-HSA-622325,R-HSA-622326,R-HSA-629588,R-HSA-629595,R-HSA-629596,R-HSA-629599
R-HSA-399997	"Acetylcholine regulates insulin secretion"	10	10	1.0	0.5421311110794712	No	0.0	7	11	0.6363636363636364	O95837,P17252,P20309,P29966,P29992,P30679,P50148,Q00722,Q01970,Q9NQ66	R-HSA-399978,R-HSA-399995,R-HSA-399998,R-HSA-400012,R-HSA-400015,R-HSA-400023,R-HSA-400027
R-HSA-1300645	"Acrosome Reaction"	1	1	1.0	0.6321384351326492	No	0.0	2	1	2.0	P10323	R-HSA-1297333,R-HSA-1297354
R-HSA-2122948	"Activated NOTCH1 Transmits Signal to the Nucleus"	31	31	1.0	0.5239958491499384	No	0.0	18	33	0.5454545454545454	A8MQ27,O00548,O14672,O76050,P0CG47,P0CG48,P32121,P46531,P49407,P49757,P49768,P49810,P62979,P62987,P78504,P78536,P80370,Q12860,Q86UW9,Q86Y01,Q86YT6,Q8NFT8,Q8WW43,Q92542,Q96AX9,Q96BI3,Q96J02,Q9NR61,Q9NZ42,Q9Y219,Q9Y2E6	R-HSA-157353,R-HSA-157632,R-HSA-157926,R-HSA-1912357,R-HSA-1912386,R-HSA-1912398,R-HSA-1980039,R-HSA-1980041,R-HSA-1980042,R-HSA-1980044,R-HSA-1980074,R-HSA-1980122,R-HSA-1980123,R-HSA-1980125,R-HSA-1980128,R-HSA-1980130,R-HSA-1980138,R-HSA-373706
R-HSA-9032845	"Activated NTRK2 signals through CDK5"	6	6	1.0	0.55436720271584	No	0.0	5	9	0.5555555555555556	P23560,P63000,Q00535,Q13009,Q15078,Q16620	R-HSA-9032841,R-HSA-9032854,R-HSA-9032863,R-HSA-9033276,R-HSA-9033292
R-HSA-9028731	"Activated NTRK2 signals through FRS2 and FRS3"	6	6	1.0	0.55436720271584	No	0.0	5	8	0.625	O43559,P23560,P34130,Q06124,Q16620,Q8WU20	R-HSA-9028728,R-HSA-9028730,R-HSA-9031981,R-HSA-9032402,R-HSA-9032426
R-HSA-9032500	"Activated NTRK2 signals through FYN"	4	4	1.0	0.5665678598010263	No	0.0	2	7	0.2857142857142857	P06241,P12931,P23560,Q16620	R-HSA-9032502,R-HSA-9037040
R-HSA-9026527	"Activated NTRK2 signals through PLCG1"	4	4	1.0	0.5665678598010263	No	0.0	2	5	0.4	P19174,P23560,P34130,Q16620	R-HSA-9026531,R-HSA-9026579
R-HSA-9026519	"Activated NTRK2 signals through RAS"	9	9	1.0	0.5444050432453672	No	0.0	4	12	0.3333333333333333	P01111,P01112,P01116,P23560,P29353,P34130,P62993,Q07889,Q16620	R-HSA-9026493,R-HSA-9026890,R-HSA-9026891,R-HSA-9028328
R-HSA-9603381	"Activated NTRK3 signals through PI3K"	6	6	1.0	0.55436720271584	No	0.0	4	7	0.5714285714285714	P12931,P20783,P27986,P35568,P42336,Q16288	R-HSA-9603407,R-HSA-9603419,R-HSA-9603420,R-HSA-9603437
R-HSA-9034793	"Activated NTRK3 signals through PLCG1"	3	3	1.0	0.5768425830551305	No	0.0	1	3	0.3333333333333333	P19174,P20783,Q16288	R-HSA-9034796
R-HSA-9034864	"Activated NTRK3 signals through RAS"	3	3	1.0	0.5768425830551305	No	0.0	2	6	0.3333333333333333	P20783,P29353,Q16288	R-HSA-9034862,R-HSA-9034875
