MODIFICATION	FREQUENCY
00024	1
00028	36
00031	81
00036	185
00037	2913
00038	3894
00039	7789
00041	423
00046	42765
00047	45104
00048	42382
00049	69
00050	1
00058	57
00064	2436
00065	12
00068	1713
00069	84
00076	75
00077	179
00078	174
00080	3
00083	1117
00084	1601
00085	187
00087	15
00090	27
00091	105
00092	30
00093	9
00094	15
00097	39
00105	78
00111	55
00113	851
00115	745
00117	41
00125	12
00126	76
00127	88
00128	254
00129	36
00134	101
00159	39
00160	604
00162	2919
00163	648
00164	2278
00166	32
00167	276
00168	6
00170	15
00171	18
00177	10
00181	6
00211	1874
00219	7
00239	3
00267	10
00274	22
00295	45
00300	199
00314	72
00317	73
00342	20
00369	55
00390	45
00438	28
00464	36
00465	36
00476	3
00478	36
00503	28
00504	28
00506	6
00599	42
00685	51
00693	669
00696	3019
00752	166
00798	545
00803	15
00804	197
00810	3
00812	446
00813	221
00814	2134
00818	146
00831	84
00835	359
00908	28
00909	6
00912	36
00913	3
00971	36
01024	84
01145	6
01148	5501
01149	1771
01150	51
01152	12
01381	256
01614	84
01623	3
01625	6
01631	100
01632	120
01636	120
01641	120
01646	20
01647	60
01688	20
01699	12
01774	3
01777	2
01880	12
01914	2922
01999	73
