PROTEIN	FREQUENCY
A2RUS2	6
A2VEC9	6
A4D1S5	3
A6ND01	3
A6NMZ7	726
A8MYZ6	28
A8TX70	726
O00141	42
O00161	10
O00167	6
O00186	6
O00194	21
O00203	12
O00206	78
O00221	10
O00238	3
O00255	6
O00257	10
O00267	406
O00327	1
O00391	6
O00401	28
O00418	3
O00468	120
O00482	10
O00548	6
O00622	6
O00716	6
O00744	6
O00755	6
O00762	6
O00763	6
O14492	6
O14531	12
O14561	6
O14594	45
O14613	3
O14618	3
O14640	66
O14641	126
O14672	6
O14733	406
O14744	3
O14757	300
O14791	6
O14904	13
O14905	6
O14920	1225
O14950	126
O14965	76
O14966	3
O14974	22
O15072	6
O15111	889
O15151	356
O15164	27
O15169	68
O15198	3
O15232	6
O15240	6
O15264	6
O15270	6
O15350	10
O15382	3
O15392	3
O15488	16
O15498	55
O15516	1
O43157	15
O43187	465
O43252	12
O43280	3
O43303	6
O43318	660
O43323	33
O43353	528
O43493	6
O43521	37
O43524	31
O43559	163
O43561	64
O43597	270
O43609	6
O43653	3
O43768	10
O43852	6
O43895	3
O43914	6
O60216	38
O60220	1
O60229	3
O60240	6
O60260	6
O60285	15
O60343	3
O60353	6
O60493	6
O60500	1
O60674	313
O60814	39
O60870	3
O60879	6
O60934	300
O60938	10
O75015	3
O75030	10
O75051	15
O75056	210
O75143	1
O75164	6
O75173	6
O75197	6
O75339	3
O75385	17
O75443	3
O75460	3
O75461	6
O75487	120
O75525	6
O75531	45
O75553	3
O75581	12
O75582	528
O75886	6
O75888	3
O75891	6
O75914	120
O75916	21
O76024	6
O76061	6
O94772	3
O94779	3
O94826	6
O94855	28
O94856	6
O94905	15
O94953	6
O95084	6
O95140	1
O95185	6
O95196	28
O95235	6
O95267	36
O95274	3
O95352	13
O95396	6
O95429	15
O95450	6
O95470	6
O95477	12
O95486	28
O95487	28
O95497	3
O95498	3
O95633	6
O95644	91
O95677	6
O95684	15
O95714	82
O95716	3
O95755	3
O95760	6
O95786	72
O95835	1
O95867	3
O95868	3
O95925	3
O95972	6
O95980	3
O95997	55
O95999	21
O96014	18
O96017	328
O96028	66
O96033	6
P00367	6
P00387	15
P00441	3
P00450	6
P00505	36
P00519	66
P00533	1097
P00734	36
P00738	6
