"Size","Order","Completeness","SizeLcc","OrderLcc","RelativeSizeLcc","RelativeOrderLcc","Entity"
1362115,2389,1,1310329,1563,0.961981183673919,0.654248639598158,"g1"
1225903,2389,0.899999632923799,1179253,1554,0.865751423337971,0.650481372959397,"g1"
1103313,2389,0.80999988987714,1061445,1548,0.77926239708101,0.64796986186689,"g1"
992981,2389,0.728999386982744,955130,1547,0.701210984388249,0.647551276684805,"g1"
893683,2389,0.65609952169971,859600,1532,0.631077405358578,0.641272498953537,"g1"
804315,2389,0.59048978977546,773776,1514,0.568069509549487,0.633737965676015,"g1"
723883,2389,0.531440443721712,696187,1513,0.511107358776608,0.633319380493931,"g1"
651495,2389,0.478296619595262,626391,1482,0.459866457677949,0.620343239849309,"g1"
586345,2389,0.430466590559534,563943,1496,0.41402010843431,0.626203432398493,"g1"
527711,2389,0.387420298579782,507745,1478,0.372762211707528,0.618668899120971,"g1"
474940,2389,0.348678342137044,456780,1450,0.335346134504062,0.606948514022604,"g1"
427446,2389,0.31381050792334,411118,1423,0.301823267492099,0.595646714106321,"g1"
384701,2389,0.282429163470045,370064,1421,0.271683374751765,0.594809543742152,"g1"
346231,2389,0.254186320538281,322537,974,0.236791313508771,0.407701967350356,"g1"
311608,2389,0.228767761899693,299673,1359,0.220005652973501,0.568857262452909,"g1"
280447,2389,0.205890838879243,269688,1372,0.197992093178623,0.574298869820008,"g1"
252402,2389,0.185301534745598,242417,1326,0.177971023004666,0.555043951444119,"g1"
227162,2389,0.166771528101519,205778,501,0.15107241312224,0.209711176224362,"g1"
204446,2389,0.150094522121847,185632,542,0.136282178817501,0.226873168689828,"g1"
184001,2389,0.135084776248701,169594,718,0.124507842583042,0.30054416073671,"g1"
165601,2389,0.121576372039072,156695,1062,0.11503801074065,0.444537463373797,"g1"
149041,2389,0.109418808250405,134813,485,0.0989732878648279,0.203013813311009,"g1"
134137,2389,0.0984770008406045,121332,501,0.0890761793240659,0.209711176224362,"g1"
120723,2389,0.0886290805108232,109419,531,0.0803302217507332,0.222268731686898,"g1"
108651,2389,0.0797663927054617,98401,522,0.0722413305778146,0.218501465048137,"g1"
97785,2389,0.0717890926977531,88378,487,0.0648829210455799,0.203850983675178,"g1"
88007,2389,0.0646105505041792,79693,488,0.058506807428154,0.204269568857262,"g1"
79206,2389,0.0581492752080404,71784,497,0.0527003960752213,0.208036835496023,"g1"
71285,2389,0.0523340540262753,64708,521,0.0475055336737353,0.218082879866053,"g1"
64157,2389,0.0471010156998491,59478,780,0.0436659166076286,0.326496442025952,"g1"
57741,2389,0.0423906938841434,52003,482,0.0381781273974664,0.201758057764755,"g1"
51967,2389,0.0381516979109693,48245,778,0.0354191826681301,0.325659271661783,"g1"
46770,2389,0.0343363078741516,42273,479,0.0310348245192219,0.200502302218501,"g1"
42093,2389,0.0309026770867364,38132,512,0.0279946994196525,0.214315613227292,"g1"
37884,2389,0.0278126296237836,34273,505,0.0251616052976437,0.2113855169527,"g1"
34095,2389,0.0250309261699636,30791,474,0.0226052866314518,0.198409376308079,"g1"
30686,2389,0.0225282006291686,27708,475,0.0203418947739361,0.198827961490163,"g1"
27617,2389,0.0202750869052907,24934,474,0.0183053560088539,0.198409376308079,"g1"
24855,2389,0.0182473579690408,22426,473,0.0164641017828891,0.197990791125994,"g1"
22370,2389,0.0164229892483381,20237,469,0.0148570421733848,0.196316450397656,"g1"
20133,2389,0.0147806903235043,18018,453,0.0132279579917995,0.189619087484303,"g1"
18119,2389,0.0133021073844719,16310,468,0.0119740256879926,0.195897865215571,"g1"
