mod freq
00046 1930
00048 1804
00047 790
00039 768
01148 608
00813 450
00064 392
00038 384
01149 376
00696 330
00804 290
00037 288
00162 288
01914 288
00113 224
00798 204
00812 174
00041 146
00160 108
00130 96
00078 90
00077 86
00211 66
00115 54
00105 52
00083 46
00076 44
00068 42
00814 42
00084 40
00134 40
01381 38
00085 36
00163 36
00206 36
00207 36
01636 32
01632 30
01614 28
00097 26
00752 26
01150 26
00835 24
01641 24
00092 20
00128 20
00478 20
01631 20
00090 18
00127 18
00465 18
00831 16
00219 14
00818 14
00028 12
00036 12
00058 12
00069 12
00314 12
01647 12
00094 10
00300 10
01024 10
00166 8
00317 8
01999 8
00087 6
00093 6
00117 6
00126 6
00274 6
00685 6
00693 6
00971 6
00049 4
00111 4
00125 4
00168 4
00342 4
00599 4
00912 4
01152 4
01646 4
01688 4
01699 4
01777 4
01880 4
00091 2
00129 2
00164 2
00167 2
00295 2
00390 2
00438 2
00464 2
00503 2
00504 2
00908 2
00909 2
01145 2
01625 2
01638 2
01774 2
