"Size","Order","Completeness","SizeLcc","OrderLcc","RelativeSizeLcc","RelativeOrderLcc","Entity"
1956877,2869,1,1898628,1969,0.970233693788623,0.686301847333566,"mm"
1761189,2869,0.899999846694504,1708744,1960,0.873199490821344,0.683164865806901,"mm"
1585070,2869,0.809999810923221,1537679,1939,0.785782141647124,0.675845242244685,"mm"
1426563,2869,0.728999829830899,1384062,1940,0.707281040147132,0.676193795747647,"mm"
1283906,2869,0.656099489134984,1245719,1922,0.63658523249034,0.669919832694319,"mm"
1155516,2869,0.590489846832479,1121128,1913,0.572916948791365,0.666782851167654,"mm"
1039964,2869,0.531440657741902,1009109,1900,0.515673187430789,0.662251655629139,"mm"
935968,2869,0.47829679637504,908155,1873,0.464083843798052,0.652840711049146,"mm"
842371,2869,0.430467014533872,817338,1857,0.417674692890764,0.647263855001743,"mm"
758134,2869,0.387420364182317,734933,1852,0.37556422810427,0.645521087486929,"mm"
682320,2869,0.348678021153092,662013,1846,0.338300772097582,0.643429766469153,"mm"
614088,2869,0.313810219037783,595812,1832,0.30447084819332,0.638550017427675,"mm"
552679,2869,0.282429094930341,535961,1802,0.273885890630837,0.628093412338794,"mm"
497411,2869,0.254186134335474,482143,1770,0.246383906602203,0.616939700243987,"mm"
447670,2869,0.228767572003759,434034,1729,0.221799326171241,0.602649006622517,"mm"
402903,2869,0.205890814803383,390895,1732,0.199754506798332,0.603694667131405,"mm"
362613,2869,0.185301886628541,351438,1678,0.179591256885333,0.584872777971419,"mm"
326351,2869,0.166771340252862,316451,1687,0.161712258869617,0.588009759498083,"mm"
293716,2869,0.150094257329408,284677,1590,0.145475162721009,0.554200069710701,"mm"
264345,2869,0.13508513820746,256217,1649,0.130931581289984,0.5747647263855,"mm"
237910,2869,0.121576368877553,230622,1566,0.117852067350171,0.545834785639596,"mm"
214119,2869,0.109418731989798,192938,582,0.0985948529212618,0.202858138724294,"mm"
192707,2869,0.0984768076889861,173966,618,0.0888998133250071,0.215406064830952,"mm"
173436,2869,0.088628973614591,168026,1495,0.0858643644950602,0.521087486929244,"mm"
156093,2869,0.0797663828641248,141123,620,0.0721164385906728,0.216103171836877,"mm"
140483,2869,0.0717893868648873,131974,1050,0.0674411319669044,0.36598117811084,"mm"
126435,2869,0.064610601483895,114177,572,0.0583465388984591,0.199372603694667,"mm"
113791,2869,0.0581492858263447,102708,569,0.0524856697687182,0.198326943185779,"mm"
102412,2869,0.0523344083455424,92423,570,0.0472298463316805,0.198675496688742,"mm"
92171,2869,0.0471010697146525,83093,565,0.0424620453917134,0.196932729173928,"mm"
82954,2869,0.0423910138450194,74746,571,0.03819657546182,0.199024050191704,"mm"
74658,2869,0.0381516058495245,67471,566,0.0344789171726174,0.197281282676891,"mm"
67192,2869,0.0343363430609078,60770,608,0.0310545833999786,0.211920529801325,"mm"
60473,2869,0.0309028109584813,54728,590,0.0279670107012347,0.205646566747996,"mm"
54426,2869,0.0278126831681296,49146,562,0.025114506430399,0.19588706866504,"mm"
48983,2869,0.025031210443988,46346,1011,0.0236836551300874,0.352387591495295,"mm"
44085,2869,0.0225282427050857,39784,553,0.0203303529041427,0.192750087138376,"mm"
39676,2869,0.0202751629254164,35806,553,0.018297522021057,0.192750087138376,"mm"
35709,2869,0.0182479532438677,32226,555,0.0164680764299442,0.193447194144301,"mm"
32138,2869,0.0164231068176487,28938,547,0.0147878481887211,0.1906587661206,"mm"
28924,2869,0.0147806939322196,26054,549,0.0133140713494001,0.191355873126525,"mm"
26031,2869,0.0133023179280047,23579,552,0.0120493010035889,0.192401533635413,"mm"
23428,2869,0.0119721372370364,21099,540,0.01078197556617,0.188218891599861,"mm"
21085,2869,0.0107748213096684,18971,543,0.00969452857793311,0.189264552108749,"mm"
18977,2869,0.00969759468786234,17097,532,0.00873688024336737,0.185430463576159,"mm"
17079,2869,0.00872768191357965,15412,533,0.00787581437157266,0.185779017079122,"mm"
15371,2869,0.00785486262038953,13795,526,0.00704949774564267,0.183339142558383,"mm"
13834,2869,0.00706942746018273,12493,534,0.00638415189099775,0.186127570582084,"mm"
12450,2869,0.00636217810317153,11262,520,0.00575508833718215,0.181247821540606,"mm"
11205,2869,0.00572596029285438,10123,522,0.00517303846894823,0.181944928546532,"mm"
10085,2869,0.00515361977272971,9105,524,0.00465282181762063,0.182642035552457,"mm"
9076,2869,0.00463800228629597,8182,519,0.00418115190683932,0.180899268037644,"mm"
8169,2869,0.0041745086686593,7342,495,0.00375189651674581,0.172533983966539,"mm"
7352,2869,0.00375700669996121,6580,491,0.00336250055573242,0.171139769954688,"mm"
6616,2869,0.00338089721530786,5956,497,0.00304362512309154,0.173231090972464,"mm"
5955,2869,0.00304311410477,5331,495,0.00272423867212911,0.172533983966539,"mm"
5359,2869,0.00273854718513223,4823,495,0.00246464136478685,0.172533983966539,"mm"
4823,2869,0.00246464136478685,4285,501,0.0021897135077984,0.174625304984315,"mm"
4341,2869,0.00221833053380463,3875,492,0.00198019599596704,0.171488323457651,"mm"
3907,2869,0.00199654858225632,3476,499,0.00177629968567263,0.17392819797839,"mm"
3516,2869,0.00179674041853423,3204,494,0.00163730270221378,0.172185430463576,"mm"
3164,2869,0.00161686196935219,2838,491,0.00145026999653019,0.171139769954688,"mm"
2848,2869,0.00145538017974558,2557,496,0.00130667384817748,0.172882537469502,"mm"
2563,2869,0.00130973995810672,2299,491,0.00117483112122019,0.171139769954688,"mm"
2307,2869,0.00117891926779251,2086,488,0.00106598421873219,0.1700941094458,"mm"
2076,2869,0.0010608740355168,1875,485,0.000958159352887279,0.169048448936912,"mm"
1868,2869,0.0009545822246365,1679,487,0.000857999761865462,0.169745555942837,"mm"
1681,2869,0.000859021798508542,1501,486,0.000767038500631363,0.169397002439875,"mm"
